,full_text,assoc_shooter,weeks_after
0,   refuses to consider emotionally based weapons ban  ,1,2
2, jamarion robinson is somebody     ,0,4
3, voice of the affect  panel at  2016 annual convening     has lasting impact,1,3
4, we can t just say   law and order  we need a plan   thank you   ,0,1
5, we will not rest    on the horrors of  ,0,3
9, respects   but need to stop 33k citizens dying from  a year   ,0,4
11,    america  the devil s playground    via ,1,1
13,  why my family left the u s        ,0,2
14, in america    is not the story            ,1,4
15, professor  breaking the cycle of  in the black community    ,1,1
17, s death  one year later  all we can do is pray  amid week of violence    ,0,1
18,       via the cagle post   ,0,1
20, in detroit have different views on how to respond to      ,0,4
21,    how connecticut politicians are leading the fight on gun control   ,1,1
22,       evidence that a good guy with a gun is the best response  ,1,1
23,  in chicago    we need to restore law and order   where are the guns coming from    ,0,1
27,  thanks for standing up to   we are with you      ,1,1
28,    you chose to ignore the the uniquely homophobic character of the attack   just rant abt  as culprit ,1,1
29,  your lack of response to  is a sad moment for democracy  not the     ,1,2
30,  has an  a  rating from the   what are his views on  prevention  read about them here   ,0,3
35,  well quelle suprise  i wonder why that might be  let me ponder that     ,1,1
36, i mean  you personally are the problem  how can you not see  language foments    policy enables it ,1,3
37, i can t even think what media is going to ask lsu players  ,0,1
39,  1 it was a house sit in on  2 y don t u   ur family go bath cook   drink w   water c how u feel  ,0,2
40, doesn t care about    their lives mean less than the right for maniacs to own assault weapons   ,1,1
41,   it is very sad watching american killing each other  more guns   more   ,0,2
42, gun violence debate  where do you stand   snipme wants your video opinion  ,0,1
43,  is a public health crisis and a threat to children s health  i m a pediatrician and i say ,1,1
45,   speaker ryan listen to your colleagues give them a vote     ,1,2
46,  soooo are you ready to have a debate about  and sensible   ,0,4
47, fund gun buy back program    melt down those weapons to create memorials to all those killed by  ,0,1
48, perhaps it is healthier for the youth who has a future  older people think old and die earlier ,1,2
49,  is killing everybody   blk ppl included no fool here  sorry disagree with you ,1,3
50, how s  house spending precious few wrkin days left     nope   commissioner impeachment,0,2
51, the  is  teacher of  to    remind your  that what they watching is ,1,1
52, i happen to agree with    vote is more important than a failed campaign ,1,2
53, holy shit   murders not a crime  this is news to me    or are you saying violence only matters if its ,1,1
57, despite  being  laws land ii after   dpd chief brown is right about fatherless families  ,0,2
58, join us today at 1 pm et for an important  on  and  ,1,3
60,activists arrested at  sit in for the 49  at marco rubio s office     ,0,1
61,after a 14 hour filibuster            ,1,1
62,an average of 36 people die on a daily basis from  in the us   via ,1,1
63,an outbreak of principle   ,1,2
64,and this is the difference between canada and us      ,1,4
65,another reason to be proud to live in          ,1,1
66,anyone of age can drive a 2 ton car  but you need a special license to drive a 40 ton truck  why is it different for guns  ,1,1
69,baby kaely  better place   ft  marsai martin  11yr old kid rapper talks  and  youtube    ,0,3
71,blame  and laxity of proper  rules in the us first  and  and  later ,1,1
73,call 1 855 331 8593 to connect w senate      do something   ,1,1
74,cannot wait to read  piece on  and     ,1,1
75,charlestonians impacted by  appear at two d c  events including one with     ,0,2
76,chicago lgbtq  latinx communities    prevention groups are coming together 4 a town hall to   ,0,2
77,chicago  shootings surged more than 88  in first 3 months of 2016 compared w same period last year   ,1,2
79,chilling reason for    why we keep fighting     ,1,2
81,city officials  3 dead  1 hurt in shooting north of seattle    ,0,4
82,congress  please act on that gun law  it s not too soon        ,0,1
83,conservatives claim  is not a  crisis  but me         ,1,2
